,ID,Employment_Status,Employment_Status_Aggregated,Work_as_Contractor_12m,Work_as_Perm,Residence_Country,Residence_District,Residence_District_Aggregated,Work_Company_Country,Work_Company_Continent,Work_Company_PT_International,Work_Company_PT_District,Work_Company_PT_District_Aggregated,Remote_Working_Current,Remote_Working_Current_Flexible_Office_Days,Remote_Working_due_to_Covid,Job_Remote_or_Office,Remote_Work_Opinion,Job_Role_Original,Job_Role_Other,Job_Role,Employer_Industry,Employer_Industry_Other,Employer_Org_Type,Employer_Org_Type_Other,Employer_Size,Language_JavaScript,Language_Bash/Shell/PowerShell,Language_SQL,Language_Java,Language_C#,Language_Python,Language_PHP,Language_C++,Language_C,Language_TypeScript,Language_Ruby,Language_Swift,Language_Objective-C,Language_VB.NET,Language_Assembly,Language_R,Language_Perl,Language_VBA,Language_Matlab,Language_Go,Language_Scala,Language_Groovy,Language_Coffee Script,Language_Visual Basic 6,Language_Lua,Language_Haskell,Language_HTML/CSS,Language_Kotlin,Language_Rust,Language_Elixir,Language_Clojure,Language_WebAssembly,Language_Dart,Language_Languages_N/A,Language_Languages_Other,Framework_jQuery,Framework_.NET,Framework_Angular/Angular.js,Framework_Ruby on Rails,Framework_React,Framework_Django,Framework_Laravel,Framework_Spring,Framework_Vue.js,Framework_Express,Framework_Meteor,Framework_Flask,Framework_Ember.js,Framework_Drupal,Framework_OutSystems,Framework_Framework_N/A,Framework_Framework_Other,Contractor_Avg_Project,Contractor_Avg_Project_Intervals,Contractor_Avg_Hour_Rate,Contractor_Avg_Annual_Salary,Perm_Current_Company_how_long,Perm_GAS,Perm_GAS_Avg,Perm_GAS_Low_Limit,Perm_GAS_High_Limit,Avg_Salary,Salary_Change,Salary_Fairness,Changing_Jobs_next_6_months,Job_Motivator_Work_life_balance,Job_Motivator_Compensation_and_benefits,Job_Motivator_Training/Development_programs_at_work,Job_Motivator_Career_growth_opportunities,Job_Motivator_Remote_working,Job_Motivator_Flexible_schedule,Job_Motivator_Company_culture,Job_Motivator_The_technologies_I'm_working_with,Job_Motivator_Versatility/Variety_of_projects,Job_Motivator_Freedom_to_choose_the_clients_and/or_projects,Job_Motivator_Being_autonomous_at_work,Job_Motivator_How_widely_used_or_impactful_the_product/service_I_work_on_is,Job_Motivator_Environmentally_friendly/responsible_work_practice,Job_Perk_Meals_allowance/Company_provided_meals_or_snacks,Job_Perk_Transportation_benefit,Job_Perk_Health_benefits,Job_Perk_Fitness_or_wellness_benefit_(ex._gym_membership),Job_Perk_Computer/_Office_equipment_allowance,Job_Perk_Professional_development_sponsorship,Job_Perk_Annual_bonus,Job_Perk_Long-term_leave,Job_Perk_Parental_leave,Job_Perk_Stock_options_or_shares,Job_Perk_Education_sponsorship,Job_Perk_Child_care,Citizenship,Birth_Year,Age,Gender,English_Level,Way_Into_Tech,Way_Into_Tech_Other,Education_Level,Working_Experience,Working_Experience_Aggregated
816,817,Employed full-time,Permanent Employee,0.0,,Portugal,Viana do Castelo,North,Portugal,Europe,Portugal,Viana do Castelo,North,Flexible between remote and office,3.0,Working remote because of Covid-19,Full Office Job,4.0,Full-Stack Developer,,Full-Stack Developer,Healthcare or social services,,SME - Small or Medium Enterprise (personnel <250),,100 - 499 employees,,,SQL,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.NET,,,,,,,,,,,,,,,,,,,,More than 3 years,< €15.000,12500.0,0.0,15000.0,12500,Hasn't changed,3,3.0,7,4,5,4,3,3,5,4,4,4,4,6,6,3,3,3,3,5,5,5,5,6,3,6,6,Portuguese,1983.0,38.0,Male,Professional working proficiency,University,,Bachelor degree,More than 9 years,6+ years
817,818,Employed full-time,Permanent Employee,0.0,,Portugal,Beja,South,Portugal,Europe,Portugal,Évora,South,"Yes, fully remote",,My job is remote (full or flexible) by definition,Remote Job (full or flexible),6.0,Mobile Apps Developer,,Mobile Apps Developer,Software development - other,,Consulting Business,,10 - 19 employees,,,SQL,Java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Android,,,,,Between 1 - 3 years,< €15.000,12500.0,0.0,15000.0,12500,Hasn't changed,1,5.0,7,6,7,7,5,5,7,7,7,3,6,6,7,5,6,6,3,7,6,7,6,7,4,4,5,Portuguese,1998.0,23.0,Male,Professional working proficiency,University,,Bachelor degree,Between 1 - 3 years,0 - 3 years
818,819,Employed full-time,Permanent Employee,0.0,,Portugal,Évora,South,Netherlands,Europe,International,,,Flexible between remote and office,5.0,Working remote because of Covid-19,Full Office Job,5.0,Full-Stack Developer,,Full-Stack Developer,Cloud-based solutions or services,,"Scale-up (fast growing company aka ""unicorn"")",,10 - 19 employees,JavaScript,Bash/Shell/PowerShell,SQL,Java,,,PHP,,,TypeScript,,,,,,R,,,,,,,,,,,HTML/CSS,,,,,,,,,jQuery,,Angular/Angular.js,,React,,Laravel,Spring,,,,,,,,,,,,,,Between 1 - 3 years,€25.000 - €30.000,27500.0,25000.0,30000.0,27500,"]5%,15%]",5,1.0,4,6,5,6,3,5,6,7,6,4,6,6,6,4,5,7,7,7,6,3,1,7,7,6,7,Portuguese,1995.0,26.0,Male,Full professional proficiency,University,,Bachelor degree,Between 1 - 3 years,0 - 3 years
819,820,Employed full-time,Permanent Employee,0.0,,Portugal,Coimbra,Centre,Portugal,Europe,Portugal,Coimbra,Centre,Flexible between remote and office,1.0,My job is remote (full or flexible) by definition,Remote Job (full or flexible),5.0,Back-End Developer,,Back-End Developer,Telecommunications,,Corporate,,500 - 999 employees,,,SQL,Java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,More than 3 years,€30.000 - €35.000,32500.0,30000.0,35000.0,32500,Increased more than 15%,5,1.0,7,6,6,5,7,7,5,6,5,2,5,4,6,5,1,7,1,7,4,6,6,5,4,4,5,Portuguese,1992.0,29.0,Male,Limited working proficiency,University,,Bachelor degree,Between 3 - 6 years,3 - 6 years
820,821,Employed full-time,Permanent Employee,0.0,,Portugal,Porto,Porto Metropolitan Area,Portugal,Europe,Portugal,Porto,Porto Metropolitan Area,"No, full office job",,,Full Office Job,6.0,Full-Stack Developer,,Full-Stack Developer,Energy or utilities,,Corporate,,More than 5.000 employees,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.NET,,,,,,,,,,,,,,,,,,,,Between 1 - 3 years,< €15.000,12500.0,0.0,15000.0,12500,Hasn't changed,1,3.0,5,6,5,5,6,5,5,4,5,3,5,4,5,5,5,5,4,5,5,5,4,4,4,4,4,Portuguese,1997.0,24.0,Male,Professional working proficiency,University,,Bachelor degree,Between 1 - 3 years,0 - 3 years
821,822,Employed full-time,Permanent Employee,1.0,,Portugal,Viseu,Centre,Portugal,Europe,Portugal,Aveiro,Centre,"Yes, fully remote",,My job is remote (full or flexible) by definition,Remote Job (full or flexible),7.0,Solutions Architect,,Solutions Architect,Software development - other,,Corporate,,1000 - 4.999 employees,JavaScript,Bash/Shell/PowerShell,SQL,,C#,,,,,TypeScript,,,,,,,,,,,,,,,,,HTML/CSS,,,,,,,,,jQuery,.NET,Angular/Angular.js,,React,,,,,Express,,,,,,,,,,,,More than 3 years,€25.000 - €30.000,27500.0,25000.0,30000.0,27500,Hasn't changed,2,1.0,7,7,4,7,2,5,4,7,6,4,6,6,5,1,1,6,1,7,5,4,4,7,2,4,4,Portuguese,1986.0,35.0,Male,Full professional proficiency,University,,Bachelor degree,More than 9 years,6+ years
822,823,Employed full-time,Permanent Employee,0.0,,Portugal,Viseu,Centre,Portugal,Europe,Portugal,Porto,Porto Metropolitan Area,"Yes, fully remote",,Working remote because of Covid-19,Full Office Job,5.0,Back-End Developer,,Back-End Developer,Healthcare or social services,,Corporate,,500 - 999 employees,,,SQL,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.NET,,,,,,,,,,,,,,,,,,,,Less than one year,< €15.000,12500.0,0.0,15000.0,12500,Hasn't changed,4,2.0,6,5,5,6,5,5,6,6,5,4,4,4,3,3,3,5,4,6,4,4,4,4,3,3,3,Portuguese,1997.0,24.0,Male,Limited working proficiency,University,,Bachelor degree,Less than 1 year,0 - 3 years
823,824,Working as a Contractor/Freelancer,Contractor,,0.0,Portugal,Coimbra,Centre,Portugal,Europe,Portugal,Coimbra,Centre,"Yes, fully remote",,My job is remote (full or flexible) by definition,Remote Job (full or flexible),6.0,Data Scientist/Data Engineer,,Data Scientist/Data Engineer,Software development - other,,,sole proprietorship,Less than 10 employees,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Less than 3 months,20.0,32000.0,,,,,,32000,Increased more than 15%,2,4.0,4,6,5,5,5,5,3,5,2,5,5,3,4,2,2,6,4,4,5,6,5,4,4,4,4,Portuguese,1991.0,30.0,Male,Full professional proficiency,University,,Bachelor degree,Between 6 - 9 years,6+ years
824,825,Employed full-time,Permanent Employee,0.0,,Portugal,Coimbra,Centre,Portugal,Europe,Portugal,Coimbra,Centre,"Yes, fully remote",,Working remote because of Covid-19,Full Office Job,5.0,Front-End Developer,,Front-End Developer,Software as a service (saas) development,,"Scale-up (fast growing company aka ""unicorn"")",,More than 5.000 employees,JavaScript,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,React,,,,,,,,,,,,,,,,,Between 1 - 3 years,€30.000 - €35.000,32500.0,30000.0,35000.0,32500,Increased more than 15%,5,4.0,7,7,7,7,4,7,7,7,7,7,7,5,5,7,7,7,7,7,7,7,7,7,7,7,7,Portuguese,1997.0,24.0,Male,Full professional proficiency,University,,Bachelor degree,Between 1 - 3 years,0 - 3 years
825,826,Employed full-time,Permanent Employee,1.0,,Portugal,Porto,Porto Metropolitan Area,Portugal,Europe,Portugal,Lisboa,Lisbon Metropolitan Area,"Yes, fully remote",,Working remote because of Covid-19,Full Office Job,7.0,Front-End Developer,,Front-End Developer,Web development or design,,Outsourcing,,20 - 99 employees,JavaScript,,,,,,,,,,,,,,,,,,,,,,,,,,HTML/CSS,,,,,,,,,,,,,React,,,,,,,,,,,,,,,,,Between 1 - 3 years,€20.000 - €25.000,22500.0,20000.0,25000.0,22500,"]5%,15%]",4,5.0,6,5,5,6,7,4,4,7,4,3,6,4,5,3,3,5,7,4,4,6,6,4,3,4,3,Portuguese,1993.0,28.0,Male,Professional working proficiency,University,,Bachelor degree,Between 3 - 6 years,3 - 6 years
826,827,Employed full-time,Permanent Employee,0.0,,Portugal,Lisboa,Lisbon Metropolitan Area,Portugal,Europe,Portugal,Lisboa,Lisbon Metropolitan Area,"Yes, fully remote",,Working remote because of Covid-19,Full Office Job,4.0,Data Scientist/Data Engineer,,Data Scientist/Data Engineer,Software development - other,,Outsourcing,,100 - 499 employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Between 1 - 3 years,< €15.000,12500.0,0.0,15000.0,12500,"]5%,15%]",4,3.0,6,6,6,6,4,6,6,6,5,4,5,7,6,7,7,7,7,7,7,7,7,7,3,7,7,Portuguese,1974.0,47.0,Female,Native or bilingual proficiency,Self-taught,,Bachelor degree,More than 9 years,6+ years
827,828,Employed full-time,Permanent Employee,0.0,,Portugal,Setúbal,Lisbon Metropolitan Area,Portugal,Europe,Portugal,Lisboa,Lisbon Metropolitan Area,"Yes, fully remote",,Working remote because of Covid-19,Full Office Job,6.0,Full-Stack Developer,,Full-Stack Developer,Government or public administration,,Outsourcing,,More than 5.000 employees,,,SQL,Java,,,,,,,,,,,,,,,,,,,,,,,HTML/CSS,,,,,,,,,,,,,,,,,,,,,,,,,"JSF, hibernate, JPA",,,,,Less than one year,€45.000 - €50.000,47500.0,45000.0,50000.0,47500,"]5%,15%]",6,2.0,7,6,5,5,6,7,4,4,4,4,5,6,5,4,6,6,4,7,5,5,4,5,5,4,5,Brazilian,1986.0,35.0,Male,Elementary,University,,Bachelor degree,More than 9 years,6+ years
828,829,Employed full-time,Permanent Employee,1.0,,Portugal,Lisboa,Lisbon Metropolitan Area,Portugal,Europe,Portugal,Lisboa,Lisbon Metropolitan Area,Flexible between remote and office,1.0,My job is remote (full or flexible) by definition,Remote Job (full or flexible),6.0,Technical Team Leader,,Technical Team Leader,Financial and banking,,SME - Small or Medium Enterprise (personnel <250),,20 - 99 employees,JavaScript,,SQL,Java,,,,,,,,,,,,,,,,,,Groovy,,,,,HTML/CSS,,,,,,,,,jQuery,,Angular/Angular.js,,,,,Spring,Vue.js,,,,,,,,,,,,,Between 1 - 3 years,€45.000 - €50.000,47500.0,45000.0,50000.0,47500,Increased more than 15%,4,3.0,6,6,6,5,5,5,5,5,4,4,5,4,3,5,6,7,3,7,7,7,4,4,7,4,4,Portuguese,1994.0,27.0,Male,Full professional proficiency,University,,Bachelor degree,Between 3 - 6 years,3 - 6 years
829,830,Employed full-time,Permanent Employee,0.0,,Portugal,Porto,Porto Metropolitan Area,Portugal,Europe,Portugal,Porto,Porto Metropolitan Area,"Yes, fully remote",,Working remote because of Covid-19,Full Office Job,6.0,Front-End Developer,,Front-End Developer,Retail or ecommerce,,"Scale-up (fast growing company aka ""unicorn"")",,1000 - 4.999 employees,JavaScript,Bash/Shell/PowerShell,,,C#,,,,,TypeScript,,,,,,,,,,,,,,,,,HTML/CSS,,,,,,,,,,.NET,,,React,,,,,,,,,,,,,,,,,Less than one year,€25.000 - €30.000,27500.0,25000.0,30000.0,27500,Increased more than 15%,2,4.0,6,5,2,4,6,7,4,5,5,4,6,5,4,2,4,7,2,7,3,4,4,4,4,4,4,Brazilian,1989.0,32.0,Male,Full professional proficiency,Self-taught,,Bachelor degree,More than 9 years,6+ years
830,831,Employed full-time,Permanent Employee,1.0,,Portugal,Braga,North,Portugal,Europe,Portugal,Braga,North,"No, full office job",,,Full Office Job,6.0,Full-Stack Developer,,Full-Stack Developer,Retail or ecommerce,,SME - Small or Medium Enterprise (personnel <250),,10 - 19 employees,JavaScript,,SQL,,,,PHP,,,TypeScript,,,,,,,,,,,,,,,,,HTML/CSS,,,,,,,,,jQuery,,Angular/Angular.js,,,,,,,,,,,,,,,,,,,Between 1 - 3 years,€15.000 - €20.000,17500.0,15000.0,20000.0,17500,"]0%, 5%]",5,3.0,7,6,5,6,6,7,6,6,5,7,5,4,5,4,6,5,4,5,4,6,4,7,5,5,4,Portuguese,1996.0,25.0,Male,Professional working proficiency,University,,Bachelor degree,Between 1 - 3 years,0 - 3 years
831,832,Employed full-time,Permanent Employee,1.0,,Portugal,Açores,Azores and Madeira,Portugal,Europe,Portugal,Açores,Azores and Madeira,Flexible between remote and office,1.0,Working remote because of Covid-19,Full Office Job,6.0,Front-End Developer,,Front-End Developer,Government or public administration,,SME - Small or Medium Enterprise (personnel <250),,10 - 19 employees,,,,,,,,,,TypeScript,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angular/Angular.js,,,,,,,,,,,,,,,,,,,More than 3 years,€20.000 - €25.000,22500.0,20000.0,25000.0,22500,Hasn't changed,6,4.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Portuguese,1992.0,29.0,Male,Full professional proficiency,University,,Bachelor degree,Between 3 - 6 years,3 - 6 years
832,833,Employed full-time,Permanent Employee,1.0,,Portugal,Leiria,Centre,Portugal,Europe,Portugal,Leiria,Centre,"Yes, fully remote",,Working remote because of Covid-19,Full Office Job,4.0,Back-End Developer,,Back-End Developer,Retail or ecommerce,,Corporate,,100 - 499 employees,,,SQL,Java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spring,,,,,,,,,,,,,,Between 1 - 3 years,€15.000 - €20.000,17500.0,15000.0,20000.0,17500,Increased more than 15%,2,5.0,6,6,5,4,4,5,1,3,4,2,5,5,6,1,1,1,1,7,6,4,5,7,1,7,7,Portuguese,1995.0,26.0,Male,Full professional proficiency,University,,Bachelor degree,Between 1 - 3 years,0 - 3 years
833,834,Employed full-time,Permanent Employee,1.0,,Portugal,Coimbra,Centre,Portugal,Europe,Portugal,Coimbra,Centre,"Yes, fully remote",,Working remote because of Covid-19,Full Office Job,6.0,Front-End Developer,,Front-End Developer,Retail or ecommerce,,SME - Small or Medium Enterprise (personnel <250),,20 - 99 employees,JavaScript,,,,,,,,,,,,,,,,,,,,,,,,,,HTML/CSS,,,,,,,,,,,,,React,,,,,,,,,,,,,,,,,Between 1 - 3 years,< €15.000,12500.0,0.0,15000.0,12500,Hasn't changed,3,3.0,6,6,6,6,6,6,6,6,5,5,5,4,6,6,5,6,5,6,6,6,6,6,4,5,6,Portuguese,1997.0,24.0,Male,Full professional proficiency,University,,Bachelor degree,Between 1 - 3 years,0 - 3 years
834,835,Employed full-time,Permanent Employee,0.0,,Portugal,Lisboa,Lisbon Metropolitan Area,Portugal,Europe,Portugal,Lisboa,Lisbon Metropolitan Area,"Yes, fully remote",,My job is remote (full or flexible) by definition,Remote Job (full or flexible),6.0,Back-End Developer,,Back-End Developer,Software as a service (saas) development,,"Scale-up (fast growing company aka ""unicorn"")",,500 - 999 employees,JavaScript,,,,,,,,,TypeScript,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Express,,,,,,,,,,,,Between 1 - 3 years,€55.000 - €60.000,57500.0,55000.0,60000.0,57500,Hasn't changed,5,2.0,7,7,7,7,7,7,7,7,7,7,5,7,5,5,5,7,5,7,7,7,7,7,5,5,5,Portuguese,1989.0,32.0,Male,Full professional proficiency,University,,Bachelor degree,More than 9 years,6+ years
835,836,Employed full-time,Permanent Employee,0.0,,Portugal,Coimbra,Centre,Portugal,Europe,Portugal,Viseu,Centre,"Yes, fully remote",,My job is remote (full or flexible) by definition,Remote Job (full or flexible),6.0,Full-Stack Developer,,Full-Stack Developer,Government or public administration,,SME - Small or Medium Enterprise (personnel <250),,Less than 10 employees,JavaScript,Bash/Shell/PowerShell,,,,,,,,TypeScript,,,,,,,,,,,,,,,,,HTML/CSS,,,,,,,,,,,Angular/Angular.js,,,,,,,,,,,,,,,,,,,Less than one year,€15.000 - €20.000,17500.0,15000.0,20000.0,17500,Hasn't changed,6,3.0,7,7,5,6,6,6,6,5,4,4,4,4,6,5,7,7,6,7,7,7,6,6,4,6,5,Portuguese,1999.0,22.0,Male,Professional working proficiency,University,,Bachelor degree,Less than 1 year,0 - 3 years
836,837,Working as a Contractor/Freelancer,Contractor,,1.0,Portugal,Lisboa,Lisbon Metropolitan Area,Portugal,Europe,Portugal,Lisboa,Lisbon Metropolitan Area,"Yes, fully remote",,Working remote because of Covid-19,Full Office Job,4.0,Full-Stack Developer,,Full-Stack Developer,Internet,,Startup (new business venture),,Less than 10 employees,JavaScript,Bash/Shell/PowerShell,SQL,Java,,Python,,,,TypeScript,,,,,,,,,,,Scala,,,,,Haskell,HTML/CSS,,,,Clojure,,,,,jQuery,,Angular/Angular.js,,,,,Spring,,Express,,Flask,,,,,,6,4 to 6 months,30.0,48000.0,,,,,,48000,Hasn't changed,4,4.0,5,7,6,7,3,3,6,6,6,5,5,5,5,5,5,7,6,5,6,7,2,3,7,6,3,Portuguese,1978.0,43.0,Male,Professional working proficiency,University,,Bachelor degree,Between 6 - 9 years,6+ years
837,838,Employed full-time,Permanent Employee,0.0,,Portugal,Lisboa,Lisbon Metropolitan Area,Portugal,Europe,Portugal,Lisboa,Lisbon Metropolitan Area,"Yes, fully remote",,My job is remote (full or flexible) by definition,Remote Job (full or flexible),6.0,UX/UI Designer,,UX/UI Designer,Software as a service (saas) development,,"Scale-up (fast growing company aka ""unicorn"")",,500 - 999 employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Between 1 - 3 years,€20.000 - €25.000,22500.0,20000.0,25000.0,22500,Hasn't changed,4,1.0,7,7,5,7,7,7,7,7,7,4,7,7,7,4,4,7,7,7,7,7,5,7,6,7,4,Portuguese,1993.0,28.0,Male,Professional working proficiency,Self-taught,,Bachelor degree,Between 3 - 6 years,3 - 6 years
838,839,Employed full-time,Permanent Employee,0.0,,Portugal,Lisboa,Lisbon Metropolitan Area,Portugal,Europe,Portugal,Lisboa,Lisbon Metropolitan Area,"Yes, fully remote",,Working remote because of Covid-19,Full Office Job,7.0,Project Manager,,Project Manager,Software development - other,,Corporate,,100 - 499 employees,,,SQL,,,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flask,,,,,,,,,,Less than one year,€55.000 - €60.000,57500.0,55000.0,60000.0,57500,Increased more than 15%,6,1.0,7,6,5,5,7,7,6,6,4,4,6,4,7,7,7,7,5,5,7,7,6,7,6,5,7,Portuguese,1985.0,36.0,Female,Full professional proficiency,Self-taught,,Bachelor degree,More than 9 years,6+ years
839,840,Employed full-time,Permanent Employee,1.0,,Portugal,Porto,Porto Metropolitan Area,Portugal,Europe,Portugal,Porto,Porto Metropolitan Area,"Yes, fully remote",,Working remote because of Covid-19,Full Office Job,5.0,Full-Stack Developer,,Full-Stack Developer,Retail or ecommerce,,Corporate,,More than 5.000 employees,JavaScript,,SQL,,C#,,,,,TypeScript,,,,,,,,,,,,,,,,,,,,,,,,,,jQuery,.NET,,,React,,,,,Express,,,,,,,,,,,,Between 1 - 3 years,€15.000 - €20.000,17500.0,15000.0,20000.0,17500,Increased more than 15%,2,4.0,5,5,6,7,5,5,5,4,4,5,6,5,5,6,4,7,5,7,6,7,5,4,5,6,5,Portuguese,1996.0,25.0,Male,Full professional proficiency,University,,Bachelor degree,Between 1 - 3 years,0 - 3 years
840,841,Employed full-time,Permanent Employee,1.0,,Portugal,Braga,North,Portugal,Europe,Portugal,Braga,North,"Yes, fully remote",,My job is remote (full or flexible) by definition,Remote Job (full or flexible),7.0,Front-End Developer,,Front-End Developer,Internet,,Corporate,,More than 5.000 employees,JavaScript,,,,,,,,,TypeScript,,,,,,,,,,,,,,,,,HTML/CSS,,,,,,,,,,,Angular/Angular.js,,,,,,,,,,,,,,,,,,,Less than one year,€15.000 - €20.000,17500.0,15000.0,20000.0,17500,"]5%,15%]",4,4.0,5,7,5,6,7,5,4,6,6,6,7,3,4,4,3,5,3,5,5,7,6,5,6,5,6,Portuguese,1998.0,23.0,Male,Full professional proficiency,University,,Bachelor degree,Between 1 - 3 years,0 - 3 years
841,842,Employed full-time,Permanent Employee,1.0,,Portugal,Porto,Porto Metropolitan Area,Portugal,Europe,Portugal,Porto,Porto Metropolitan Area,"No, full office job",,,Full Office Job,7.0,Full-Stack Developer,,Full-Stack Developer,Education and training,,Corporate,,1000 - 4.999 employees,JavaScript,,SQL,,,,PHP,,,,,,,,,,,,,,,,,,,,HTML/CSS,,,,,,Dart,,,jQuery,,,,,,Laravel,,Vue.js,,,,,,,,,,,,,More than 3 years,< €15.000,12500.0,0.0,15000.0,12500,Hasn't changed,7,5.0,7,7,6,6,7,7,7,6,6,5,5,4,5,6,7,7,4,7,5,7,7,7,5,5,7,Portuguese,1985.0,36.0,Male,Elementary,University,,Bachelor degree,More than 9 years,6+ years
842,843,Employed full-time,Permanent Employee,0.0,,Portugal,Coimbra,Centre,Portugal,Europe,Portugal,Lisboa,Lisbon Metropolitan Area,"Yes, fully remote",,Working remote because of Covid-19,Full Office Job,5.0,DevOps Engineer,,DevOps Engineer,Consulting,,,PwC,1000 - 4.999 employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salesforce,,,,,,,,,,,,,,,,,Vlocity,,,,,Between 1 - 3 years,€25.000 - €30.000,27500.0,25000.0,30000.0,27500,Hasn't changed,2,3.0,7,6,6,7,4,5,5,6,7,7,6,6,7,3,3,6,5,7,6,7,7,7,6,6,6,Portuguese,1991.0,30.0,Male,Professional working proficiency,Self-taught,,Bachelor degree,Between 3 - 6 years,3 - 6 years
843,844,Employed part-time,Permanent Employee,0.0,,Portugal,Lisboa,Lisbon Metropolitan Area,UK,Europe,International,,,"Yes, fully remote",,Working remote because of Covid-19,Full Office Job,4.0,Mobile Apps Developer,,Mobile Apps Developer,"Media, advertising, publishing, or entertainment",,Corporate,,More than 5.000 employees,JavaScript,,,,,,,,,,,Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Less than one year,€15.000 - €20.000,17500.0,15000.0,20000.0,17500,Hasn't changed,5,1.0,5,7,7,7,3,5,6,6,7,4,7,7,4,6,6,6,6,6,6,6,6,6,6,6,6,Portuguese,1996.0,25.0,Male,Professional working proficiency,University,,Bachelor degree,Less than 1 year,0 - 3 years
844,845,Employed full-time,Permanent Employee,0.0,,Portugal,Viana do Castelo,North,Spain,Europe,International,,,"No, full office job",,,Full Office Job,6.0,Full-Stack Developer,,Full-Stack Developer,Consulting,,Consulting Business,,1000 - 4.999 employees,JavaScript,Bash/Shell/PowerShell,SQL,Java,,,,,,,,,,,,,,,,,,,,,,,HTML/CSS,,,,,,,,PL/SQL,jQuery,,,,,,,,,,,,,,,,Hibernate,,,,,Less than one year,< €15.000,12500.0,0.0,15000.0,12500,"[-5%, 0%[",5,4.0,4,4,3,2,5,5,5,5,5,3,5,5,5,3,5,7,4,6,5,6,7,4,5,4,5,Portuguese,1988.0,33.0,Female,Elementary,Self-taught,,Bachelor degree,Between 6 - 9 years,6+ years
845,846,Employed full-time,Permanent Employee,0.0,,Portugal,Leiria,Centre,Portugal,Europe,Portugal,Santarém,Centre,"No, full office job",,,Full Office Job,5.0,Quality Assurance/Testing,,Quality Assurance/Testing,Energy or utilities,,SME - Small or Medium Enterprise (personnel <250),,20 - 99 employees,,,SQL,,,,,,,,,,,,,,,VBA,,,,,,,,,,,,,,,,,,,.NET,,,,,,,,,,,,,,,,,,,,More than 3 years,< €15.000,12500.0,0.0,15000.0,12500,Hasn't changed,1,4.0,6,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,3,5,5,6,5,6,5,6,6,Portuguese,1981.0,40.0,Male,Professional working proficiency,University,,Bachelor degree,More than 9 years,6+ years
846,847,Employed full-time,Permanent Employee,0.0,,Portugal,Porto,Porto Metropolitan Area,Portugal,Europe,Portugal,Porto,Porto Metropolitan Area,Flexible between remote and office,1.0,Working remote because of Covid-19,Full Office Job,5.0,Full-Stack Developer,,Full-Stack Developer,Consulting,,Consulting Business,,10 - 19 employees,JavaScript,,,Java,,,,,,TypeScript,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,React,,,Spring,,,,,,,,,,,,,,Less than one year,< €15.000,12500.0,0.0,15000.0,12500,Hasn't changed,2,5.0,6,5,6,7,4,5,5,6,6,4,5,5,5,6,6,7,3,5,5,5,6,6,7,6,6,Portuguese,1999.0,22.0,Male,Native or bilingual proficiency,University,,Bachelor degree,Less than 1 year,0 - 3 years
847,848,Employed full-time,Permanent Employee,1.0,,Portugal,Porto,Porto Metropolitan Area,Portugal,Europe,Portugal,Porto,Porto Metropolitan Area,"Yes, fully remote",,Working remote because of Covid-19,Full Office Job,6.0,Solutions Architect,,Solutions Architect,Energy or utilities,,SME - Small or Medium Enterprise (personnel <250),,20 - 99 employees,,,,,,,,C++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unreal Engine,,,,,More than 3 years,€30.000 - €35.000,32500.0,30000.0,35000.0,32500,Hasn't changed,1,4.0,6,6,5,5,4,5,2,5,1,2,5,3,5,1,1,1,1,5,6,6,5,5,3,5,5,Portuguese,1981.0,40.0,Male,Native or bilingual proficiency,University,,Bachelor degree,More than 9 years,6+ years
